Organization,AUM (USD),Agriculture Focus,Alignment with Saudi Vision 2030,Aquaculture Focus,Category,Check Size Max USD,Check Size Min USD,Co-Investment Potential,Confidence,Contact Name,Decision Maker LinkedIn URL,Decision Maker Name,Decision Maker Title,ESG/Impact Orientation,Email,Event,Follow-up Date,Geographic Focus,Geographic Focus (Enhanced),HQ Country,Impact Evidence URL,Instrument Type,Investment Approach,Investment Areas,Investment Thesis,Investor Type,Last Verified,MENA Experience,Next Action,Notes,Organization LinkedIn URL,Outreach Priority,Phone,Portfolio Examples,Position,Previous Aquaculture Investments,Priority Score,Regions Open to Explore,Research Sources,Saudi Evidence,Saudi Experience,Saudi Focus,Secondary Contact LinkedIn,Secondary Contact Name,Secondary Contact Title,Source,Stage Focus,Stage of Communication,Subsector Focus,Target Sector,Technical Expertise in RAS,Ticket Size,Typical Ticket Size (USD Million),Value-Chain Focus,Website
Rogers Investment Advisors K.K.,,,,Indirect,Investment,,,"None - Commodities advisory/index provider, not a direct investor",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan,,,Commodities advisory - Advisory firm associated with legendary investor Jim Rogers (co-founder Quantum Fund with George Soros). Focus on commodities indices including Rogers International Commodity Index - Agriculture. Not a fund manager - provides research and commodity investment advice.,"Agriculture, Aquaculture, Food Systems",,Commodities Investment Advisor,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,"Rogers International Commodity Index - Agriculture (RICI-A), commodity futures strategies",,Limited - Commodities investment advisor. May track aquaculture as protein commodity but no confirmed direct investments,88,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
MyFarm Investments,$1+ billion (NZD portfolio),,,Indirect,Investment,,,Low - Farmland syndication platform for retail investors; not structured for direct SPV co-investment,0,,,Andrew Watters,Chief Executive,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,New Zealand,,,"Farmland syndication platform - New Zealand-based agricultural syndicator offering retail and wholesale investors access to kiwifruit orchards, renewable energy, forestry, and commercial agri properties. 34+ years track record, $1B+ invested since 1990. 10-12% target returns.","Agriculture, Aquaculture, Food Systems",,Agricultural Syndication Platform,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,"Kiwifruit (SunGold), renewable energy (solar), commercial property, vineyards, carbon forestry",,Limited - Australian agricultural investment platform for retail investors. Focus on farmland syndication; may include aquaculture projects but not core focus,88,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,$10M-$50M per syndicate,,,myfarm.co.nz
Forest Investment Associates,$2+ billion (2M+ acres),,,Indirect,Investment,,,"None - Timberland investment manager; forestry only, not agriculture or aquaculture",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,United States (Atlanta),,,"Timberland investment management - Registered Investment Adviser managing institutional timberland portfolios globally. Founded in 1995. Focus on sustainable forestry, FSC/SFI certified. Not agriculture or aquaculture focused - timberland only.","Agriculture, Aquaculture, Food Systems",,Timberland Investment Manager (TIMO),,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,"2.05M acres managed globally, diversified by species, age class, geography",,"None - Timberland investment manager (TIMO). Specialized in forestry assets, not aquaculture",88,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,"Timberland, Forestry",,$50M-$200M+,,,forestinvest.com
"Mizuho Capital Co., Ltd.",$50M+ (agriculture/climate investments),,,Indirect,Investment,,,Medium - Bank-backed CVC with agriculture/climate mandate; Gulf Japan Food Fund experience suggests MENA interest,0,,,Part of Mizuho Bank,,No,,Global AgInvesting Asia,"November 3, 2025",Japan/Asia,,Japan (Tokyo),,,"Bank-backed VC and agriculture investment - Part of Mizuho Financial Group. Invests in climate tech, agriculture, and food companies. Strategic partnership with Pollination for climate solutions. Gulf Japan Food Fund for food/agribusiness. Mix of VC and strategic investments.","Agriculture, Aquaculture, Food Systems",,Corporate Venture Capital (Bank-backed),,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,"Pollination ($20M investment), Gulf Japan Food Fund, Farmind Corporation",,Limited - CVC arm of Mizuho Financial Group. May have evaluated aquaculture startups but no confirmed investments; focus on fintech and enterprise software,88,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,$5M-$50M,,,mizuhogroup.com
Qualitas Capital,$9.5 billion (AUD),,,Indirect,Investment,,,"None - Real estate investment manager focused on property/credit, not agriculture or aquaculture",0,,,Andrew Schwartz,Group Managing Director,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Australia (Melbourne),,,"Real estate private credit and equity - ASX-listed Australian alternative real estate investment manager (not agriculture). Focus on real estate private credit, opportunistic PE, core commercial real estate, build-to-rent residential. $9.5B AUD AUM. ADIA is major investor. Not relevant for aquaculture.","Agriculture, Aquaculture, Food Systems",,Real Estate Investment Manager,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,"None - Real estate investment manager. Focus on property assets, not agriculture or aquaculture",88,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,$50M-$500M+,,,qualitas.com.au
The Norinchukin Bank,"107,000,000,000,000",,Medium - Japanese agriculture expertise,,Other Participants,,,Medium - Conservative approach,0,Kentaro Yonemaru,,Taro Kitabayashi,President & CEO,No,,GAI Europe 2025,"November 3, 2025","Japan (primary), expanding to Asia-Pacific, North America, Australia/New Zealand for agriculture investments",,Japan (Tokyo),,Debt/Conservative Portfolio,Agricultural cooperative banking - Japan's agricultural cooperative bank managing ¥107+ trillion. Primary focus on lending to Japanese agriculture sector and acquiring agricultural assets. Conservative institutional approach. Suffered ¥1.9T loss in FY2024 from bond portfolio. Limited international greenfield exposure. May consider partnerships with Japanese corporates for strategic projects. Typical tickets ¥1-3B ($10-30M).,,,Bank/Cooperative,,No,Leverage Japan-Saudi cooperation framework,,,,,,Senior Manager,Some in Japan,85,,,,No,,,,,GAI Europe 2025,Established/Conservative,Initial Contact,,"Agricultural Lending, Japanese Agriculture",Medium - Strong in agriculture,$10-30M,,,
Development Bank of Japan,,,High - Infrastructure development focus,Indirect,Investment,,,Medium - Development finance mandate,0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Japan/Asia,,Japan,,,"Japanese development bank - Japan's policy bank providing long-term financing for Japanese companies and infrastructure. Focus on lending (debt) not equity. May finance projects with Japanese corporate partnerships or technology. Typical tickets $20-50M. Made first Japanese agri-sector investment backing Nippon Agriculture (2024). Limited international greenfield experience. Invested in Equilibrium Capital CEF Fund II (2020), TIR Europe Forestry Fund II, Proterra Asia food PE fund.","Agriculture, Aquaculture, Food Systems",,Bank/Investment Fund,,No,Explore development finance options,Global AgInvesting Asia participant,,,,,,Limited,82,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,"Agriculture, Infrastructure, Food Systems",Low - Finance focus,$20-50M,,,
Brown & Co,,,,Indirect,Networking,,,Medium - UK agricultural consultancy (Brown&Co International) with 20+ years experience attending GAI Asia to provide due diligence for institutional investors. RICS-standard valuations and farm business consulting. Can facilitate introductions to UK/European institutional investors seeking international farmland/agriculture opportunities. Provides credibility through third-party due diligence. Not direct co-investor but valuable for attracting European institutional capital by providing independent technical validation.,0,,,Charles Whitaker,International Team Lead,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,United Kingdom,,,"UK agricultural consultancy - Brown&Co is established UK rural property and agricultural business consultancy with 20+ years experience. Provides due diligence, valuations (RICS standards), farm business consulting, and advisory services. Brown&Co International division advises on international farmland investments. NOT a direct investor or fund manager - provides advisory, consulting, and valuation services to investors and farmers.","Agriculture, Aquaculture, Food Systems",,Advisory/Consultancy Firm,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,None - Advisory/consultancy firm. Does not make direct investments; may have advised on aquaculture transactions,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,Agricultural Consulting (not investor),,,,,
"DG Incubation, Inc.",Not disclosed (subsidiary of Digital Garage Group),,,Direct,Investment,,,"Low - Early stage focus, Japan-centric",0,,,Masahiro Ueda,Representative Director & President,No,,Global AgInvesting Asia,"November 3, 2025","Japan, Asia",,Japan,,Equity,Japanese seed VC - Subsidiary of Digital Garage Inc. (TSE). Provides early-stage investment (seed/Series A) and incubation services through Open Network Lab accelerator program. Invested in 100+ startups since 2010. Operates ESG-focused 'Earthshot Fund'. May invest in new ventures with strong management teams and tech differentiation. Focus on Japanese market with limited international exposure. Ticket sizes typically under $5M.,"Agriculture, Aquaculture, Food Systems",Technology Focus,Venture Capital,"November 6, 2025",No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Cold Prospect,,,,Unknown - Japanese VC attending AgInvesting Asia. Limited public information. Conference attendance suggests agriculture interest but aquaculture track record unclear,80,Global,,,No,,,,,Global AgInvesting Asia,Seed/Early Stage,Initial Contact,,Early-stage ventures,,,,,https://dgincubation.com/en/
Cítricos Covadonga,,,,Direct,Investment,,,N/A - Operating company,0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Spain (Asturias),,,"Agricultural operating company - Citrus farming company, not an investment firm. Operating company that may seek investment or partnerships. Not an investor in other projects.","Agriculture, Aquaculture, Food Systems",,Agricultural Operator,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Research Only,,,,"None - Citrus agricultural operator, not an investor. Operating company seeking capital, no aquaculture investment track record",80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,"Citrus Agriculture (operating company, not investor)",,,,,
DBJ Securities,,,,Indirect,Investment,,,"Medium - Development Bank of Japan securities subsidiary attending GAI Asia to arrange agriculture project financing. Can structure debt capital markets transactions, private placements, and hybrid financing. DBJ parent bank active in infrastructure and development finance. Can arrange senior debt, mezzanine, or project bonds for large-scale aquaculture projects. Not equity co-investor but valuable for debt financing and syndication to Japanese institutional bond investors.",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan (Tokyo),,,"Securities brokerage services - Development Bank of Japan securities subsidiary. Provides brokerage and capital markets services. NOT a direct investor in projects or SPVs. May help arrange financing, securities placements, or debt capital markets transactions for clients. Intermediary and advisory services only.","Agriculture, Aquaculture, Food Systems",,Securities Firm,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,Limited - Securities firm focused on capital markets. May facilitate aquaculture financing but not direct investor,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,Securities Brokerage (not direct investor),,,,,
Corporate Value Associates,,,,Indirect,Networking,,,"Medium - M&A advisory firm attending GAI Asia to find transactions. Can facilitate strategic buyer introductions and corporate partnership opportunities. Provides deal structuring and valuation services. Not a direct co-investor but can connect Al-Birk to Japanese corporates, trading companies, and institutional investors seeking agriculture/aquaculture M&A and JV opportunities in MENA.",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan,,,"Corporate M&A advisory - Advisory firm specializing in corporate strategy and M&A advisory services. NOT an investor. Provides consulting services to companies and investors pursuing mergers, acquisitions, and strategic transactions.","Agriculture, Aquaculture, Food Systems",,Advisory Firm,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Warm Lead,,,,None - M&A advisory firm. Does not make direct investments. May have advised on aquaculture M&A transactions,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,M&A Advisory (not investor),,,,,
Cool Japan Fund,¥126 billion (~$850M),,,Indirect,Investment,,,"Medium - Japanese government fund with ¥126B (~$850M) AUM attending GAI Asia. Invests in projects promoting Japanese culture/lifestyle exports including food. While primary focus is Japanese brands and cultural industries, recent investments in Vietnamese/Indonesian startups show emerging market appetite. Al-Birk RAS could attract interest if positioned with: (1) Japanese technology partnership (RAS equipment, automation), (2) export market to Japan angle, or (3) cultural/culinary collaboration. Not natural fit but government fund flexibility and food security mandate creates potential opening. Requires Japanese partnership component for alignment.",0,,,Government-appointed management,,No,,Global AgInvesting Asia,"November 3, 2025",Japan/Asia,,Japan,,,"Japanese government cultural export fund - Established 2013 by Japanese government (¥115.6B) and private sector (¥10.7B) to promote Japanese lifestyle culture exports: media, content, food, fashion, inbound tourism. Recent investments in Vietnamese apparel (Coolmate), Indonesian startups, automotive ecosystem (Carro). Primary focus is cultural industries and Japanese brands internationally. Limited relevance for non-Japanese food/agriculture projects without strong cultural/tourism component.","Agriculture, Aquaculture, Food Systems",,Government Fund,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Research Only,,,,Limited - Japanese government fund promoting Japanese culture/business abroad. May have supported aquaculture exports but limited direct investment,80,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,"Japanese cultural exports (media, content, food with cultural angle)",,,,,
